iterations, total search time, simulation time
5023, 60.0, 33.91
5194, 60.0, 32.34
5385, 60.0, 35.81
5640, 60.0, 31.43
5962, 60.01, 30.9
6277, 60.0, 29.86
6536, 60.0, 28.27
6830, 60.01, 26.77
6989, 60.0, 26.8
7147, 61.5, 22.87
7642, 60.0, 21.27
7970, 60.0, 18.96
8701, 60.01, 22.47
8892, 60.0, 17.19
9631, 60.0, 15.02
10106, 60.0, 14.59
11332, 60.0, 11.51
11549, 60.0, 3.94
12651, 60.0, 0.51
4369, 90.02, 55.27
3951, 90.02, 53.83
3968, 90.01, 54.08
3207, 90.01, 55.13
4123, 90.01, 53.04
5154, 90.01, 54.79
5223, 90.0, 58.48
4122, 90.01, 51.27
4876, 91.26, 52.84
4875, 90.01, 49.35
4928, 90.0, 48.0
5171, 90.01, 46.88
4219, 90.0, 45.9
5402, 90.0, 46.08
5146, 90.01, 44.28
5684, 90.01, 48.66
6021, 90.01, 42.9
6263, 90.0, 43.82
6542, 90.0, 42.24
6707, 90.06, 35.36
5014, 90.01, 34.92
7830, 90.01, 41.28
6748, 90.01, 34.37
7417, 90.01, 34.76
7144, 90.01, 38.86
8531, 90.01, 32.0
8528, 90.01, 27.93
8666, 90.01, 27.73
8700, 90.0, 22.49
7545, 90.01, 20.3
10980, 90.0, 20.32
11494, 90.0, 13.65
11286, 90.0, 10.44
12621, 90.31, 5.72
11560, 90.0, 0.89
3215, 90.01, 60.02
3878, 90.01, 64.94
4157, 90.01, 61.65
4211, 90.54, 61.49
4448, 90.02, 62.92
4535, 90.01, 62.17
4057, 90.01, 59.99
4057, 90.02, 59.21
4331, 90.01, 63.46
4765, 90.01, 61.49
4487, 90.01, 57.75
4929, 90.0, 56.74
4761, 90.01, 57.64
5150, 90.21, 55.05
5644, 90.01, 55.06
5690, 90.02, 55.93
5894, 90.01, 51.05
5415, 90.01, 49.76
6005, 90.01, 52.8
5513, 90.9, 53.22
7245, 90.0, 45.72
7804, 90.01, 47.34
8785, 90.0, 39.05
9219, 90.01, 37.76
9813, 90.01, 37.2
10514, 90.0, 36.06
10965, 90.0, 33.78
14035, 90.0, 35.31
13665, 90.0, 29.65
14264, 90.01, 30.96
15148, 90.0, 20.46
14133, 90.0, 16.67
15136, 90.01, 9.75
29068, 90.0, 9.66
31526, 91.77, 1.48
